"","month","year","Site","Depth","N","Temp","sd","se","ci","m.y","season","Method"
"1","1","2016","Rural-N","10m",31,29.4300967741935,0.736696222099662,0.132314547472194,0.270222355870424,"1/2016","summer","insitu"
"2","1","2016","Rural-N","5m",31,29.2610806451613,0.772045034273413,0.138663381558948,0.283188404855429,"1/2016","summer","insitu"
"3","1","2016","Urban-E","10m",31,29.6253225806452,1.12084481194906,0.201309670975254,0.411129196219826,"1/2016","summer","insitu"
"4","1","2016","Urban-E","5m",31,29.4989838709677,1.08232035063462,0.194390473465456,0.396998309725858,"1/2016","summer","insitu"
"5","1","2016","Urban-W","10m",31,29.6066290322581,1.1832481563317,0.212517642490579,0.434018927736584,"1/2016","summer","insitu"
"6","1","2016","Urban-W","5m",31,29.3544677419355,1.16121186651047,0.208559808001688,0.425935951373322,"1/2016","summer","insitu"
"7","1","2017","Rural-N","10m",31,29.1702903225806,0.209112958876041,0.0375577961366438,0.0767032525692447,"1/2017","summer","insitu"
"8","1","2017","Rural-N","5m",31,28.5715,0.236177934334829,0.0424188092282668,0.086630765715986,"1/2017","summer","insitu"
"9","1","2017","Urban-E","10m",31,28.9183225806452,0.381682799114376,0.0685522544133623,0.140002381005765,"1/2017","summer","insitu"
"10","1","2017","Urban-E","5m",31,28.660064516129,0.393674860384715,0.0707060921997452,0.144401104592235,"1/2017","summer","insitu"
"11","1","2017","Urban-W","10m",31,28.7660483870968,0.449422358048616,0.0807186383549071,0.164849451822367,"1/2017","summer","insitu"
"12","1","2017","Urban-W","5m",31,28.1835967741935,0.468358862044815,0.0841197348744757,0.171795417565504,"1/2017","summer","insitu"
"13","2","2016","Rural-N","10m",29,29.3629655172414,0.377141076555731,0.0700333397514738,0.143456793310692,"2/2016","summer","insitu"
"14","2","2016","Rural-N","5m",29,29.1719827586207,0.428262237811104,0.079526301078794,0.162902243090361,"2/2016","summer","insitu"
"15","2","2016","Urban-E","10m",29,29.1805172413793,0.418239389814156,0.0776651049305036,0.159089755607921,"2/2016","summer","insitu"
"16","2","2016","Urban-E","5m",29,29.0241034482759,0.401581369163353,0.0745717881523923,0.152753383427802,"2/2016","summer","insitu"
"17","2","2016","Urban-W","10m",29,29.1201206896552,0.344700663494855,0.0640093062775312,0.131117120120254,"2/2016","summer","insitu"
"18","2","2016","Urban-W","5m",29,28.8727586206897,0.340012699885966,0.0631387732898168,0.129333914131052,"2/2016","summer","insitu"
"19","2","2017","Rural-N","10m",28,28.8595,0.402624951849549,0.0760889638730902,0.156121658042172,"2/2017","summer","insitu"
"20","2","2017","Rural-N","5m",28,28.2250178571429,0.440116135391871,0.0831741315881231,0.170659221374258,"2/2017","summer","insitu"
"21","2","2017","Urban-E","10m",28,28.582,0.69752132583886,0.131819140166691,0.270470534450209,"2/2017","summer","insitu"
"22","2","2017","Urban-E","5m",28,28.3572678571429,0.728860405297238,0.137741669492731,0.282622560856127,"2/2017","summer","insitu"
"23","2","2017","Urban-W","10m",28,28.4630357142857,0.644685710516307,0.121834147415938,0.249983021617378,"2/2017","summer","insitu"
"24","2","2017","Urban-W","5m",28,27.9031428571429,0.706015539346651,0.133424395632741,0.273764246602197,"2/2017","summer","insitu"
"25","3","2016","Rural-N","10m",31,29.8566935483871,0.712067689636074,0.127891132460595,0.261188537229446,"3/2016","summer","insitu"
"26","3","2016","Rural-N","5m",31,29.6757419354839,0.760156703921059,0.13652817439542,0.278827730076857,"3/2016","summer","insitu"
"27","3","2016","Urban-E","10m",31,29.9254838709677,0.567317305157513,0.101893195937831,0.208093667548338,"3/2016","summer","insitu"
"28","3","2016","Urban-E","5m",31,29.7763225806452,0.509017837742239,0.0914223024847108,0.186709250256165,"3/2016","summer","insitu"
"29","3","2016","Urban-W","10m",31,29.7105806451613,0.633350970326014,0.113753192314355,0.232315011479944,"3/2016","summer","insitu"
"30","3","2016","Urban-W","5m",31,29.5248225806452,0.65772007151456,0.118130012093445,0.241253669960974,"3/2016","summer","insitu"
"31","3","2017","Rural-N","10m",31,29.4217580645161,0.314910856988866,0.0565596595809959,0.115510234900042,"3/2017","summer","insitu"
"32","3","2017","Rural-N","5m",31,28.8026290322581,0.361183470638352,0.0648704663310801,0.132483166615382,"3/2017","summer","insitu"
"33","3","2017","Urban-E","10m",31,29.2138064516129,0.297141764073967,0.0533682362812736,0.108992478998621,"3/2017","summer","insitu"
"34","3","2017","Urban-E","5m",31,28.9357580645161,0.317184538057573,0.0569680247560534,0.116344227849175,"3/2017","summer","insitu"
"35","3","2017","Urban-W","10m",31,29.1898225806452,0.34642617174965,0.0622199772070754,0.127070145681701,"3/2017","summer","insitu"
"36","3","2017","Urban-W","5m",31,28.5926290322581,0.363025939563138,0.0652013835187911,0.133158989673161,"3/2017","summer","insitu"
"37","4","2016","Rural-N","10m",30,30.1820333333333,0.428232009573069,0.0781841104963126,0.159904460330837,"4/2016","fall","insitu"
"38","4","2016","Rural-N","5m",30,29.9506,0.412654138390777,0.0753399933481623,0.154087587633742,"4/2016","fall","insitu"
"39","4","2016","Urban-E","10m",30,30.3396333333333,0.341459290584452,0.0623416519742719,0.127502994557302,"4/2016","fall","insitu"
"40","4","2016","Urban-E","5m",30,30.1834666666667,0.344170365124432,0.062836624201147,0.128515326427739,"4/2016","fall","insitu"
"41","4","2016","Urban-W","10m",30,30.3565166666667,0.359112519186928,0.0655646758137291,0.13409481845106,"4/2016","fall","insitu"
"42","4","2016","Urban-W","5m",30,30.0594166666667,0.389474315990274,0.0711079561455894,0.145432099700432,"4/2016","fall","insitu"
"43","4","2017","Rural-N","10m",30,29.74425,0.215060847444272,0.0392645591271349,0.0803050402120885,"4/2017","fall","insitu"
"44","4","2017","Rural-N","5m",30,29.0776833333333,0.238167699659126,0.0434832738574728,0.0889332806302775,"4/2017","fall","insitu"
"45","4","2017","Urban-E","10m",30,29.5723666666667,0.262282617160131,0.0478860352866985,0.0979379388125683,"4/2017","fall","insitu"
"46","4","2017","Urban-E","5m",30,29.2407333333333,0.244350572536367,0.0446121068391569,0.0912420033054348,"4/2017","fall","insitu"
"47","4","2017","Urban-W","10m",30,29.6256166666667,0.212767303819719,0.038845817267205,0.0794486169477581,"4/2017","fall","insitu"
"48","4","2017","Urban-W","5m",30,29.0146166666667,0.209870965420271,0.0383170206420231,0.0783671064152763,"4/2017","fall","insitu"
"49","5","2016","Rural-N","10m",31,30.2329516129032,0.366708179956913,0.0658627334168503,0.134509646353944,"5/2016","fall","insitu"
"50","5","2016","Rural-N","5m",31,29.9393225806452,0.381135071166533,0.0684538795698616,0.13980147277249,"5/2016","fall","insitu"
"51","5","2016","Urban-E","10m",31,30.4313548387097,0.33376234542831,0.0599454868558164,0.122425016685202,"5/2016","fall","insitu"
"52","5","2016","Urban-E","5m",31,30.2328709677419,0.344366035097877,0.0618499657415172,0.126314481457076,"5/2016","fall","insitu"
"53","5","2016","Urban-W","10m",31,30.5012741935484,0.293582522149783,0.0527289775604942,0.107686938520723,"5/2016","fall","insitu"
"54","5","2016","Urban-W","5m",31,30.1744193548387,0.322202992350428,0.0578693657550293,0.118185011745118,"5/2016","fall","insitu"
"55","5","2017","Rural-N","10m",31,29.4442419354839,0.317358574039097,0.0569992825410786,0.116408064762577,"5/2017","fall","insitu"
"56","5","2017","Rural-N","5m",31,28.6822258064516,0.322417685585786,0.0579079257984089,0.118263761859626,"5/2017","fall","insitu"
"57","5","2017","Urban-E","10m",31,29.4749677419355,0.323112930090082,0.0580327953975853,0.118518779602654,"5/2017","fall","insitu"
"58","5","2017","Urban-E","5m",31,29.1174193548387,0.349880910615174,0.0628404666244413,0.128337354128214,"5/2017","fall","insitu"
"59","5","2017","Urban-W","10m",31,29.6139193548387,0.350363432661338,0.0629271301422773,0.128514344643656,"5/2017","fall","insitu"
"60","5","2017","Urban-W","5m",31,28.9583548387097,0.359805345373217,0.0646229477266047,0.131977666187039,"5/2017","fall","insitu"
"61","6","2016","Rural-N","10m",30,29.2076833333333,0.353717778679589,0.0645797354578103,0.132080389239402,"6/2016","fall","insitu"
"62","6","2016","Rural-N","5m",30,28.9021166666667,0.379488759620309,0.069284851321233,0.141703431672943,"6/2016","fall","insitu"
