YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
2013,3,12,27.6574,29.8661,28.9072,0.0562,0,0,0
2013,3,13,27.8228,30.0297,29.4413,0.6766,0,0,0
2013,3,14,28.3072,29.784,29.0821,0.234,0,0,0
2013,3,15,27.9302,29.9709,29.3913,0.6397,0,0,0
2013,3,16,28.0747,29.6585,29.2444,0.5368,0,0,0
2013,3,17,28.3261,29.5949,29.2104,0.5037,0,0,0
2013,3,18,28.5651,29.8157,29.4854,0.7899,0.1172,0,0
2013,3,19,28.699,29.9971,29.4212,0.7234,0.0152,0,0
2013,3,20,28.9058,30.1664,29.3885,0.6623,0.0372,0,0
2013,3,21,29.0701,30.1569,29.5583,0.8444,0.204,0,0
2013,3,22,28.8608,29.9673,29.7103,0.9301,0.1281,0,0
2013,3,23,29.0743,30.0305,29.9188,1.1714,0.3518,0,0
2013,3,24,29.4153,30.4214,29.9845,1.3792,0.6033,0,0
2013,3,25,29.3207,30.3373,30.2822,1.1492,0.397,0,0
2013,3,26,29.6525,30.6242,30.2005,1.637,0.7716,0,0
2013,3,27,29.6112,30.5821,30.084,1.4986,0.6293,0,0
2013,3,28,29.6693,30.3336,29.9416,1.3238,0.5346,0,0
2013,3,29,29.4374,30.1505,29.8572,1.0391,0.3176,0,0
2013,3,30,29.096,29.9271,29.9242,0.8554,0.0535,0,0
2013,3,31,29.3628,30.393,29.806,1.0711,0.4213,0,0
2013,4,1,29.0013,30.9158,29.8351,1.0872,0.4787,0,0
2013,4,2,28.9351,30.0821,29.6934,0.9703,0.2303,0,0
2013,4,3,29.1341,30.0676,29.7717,1.0582,0.3573,0,0
2013,4,4,28.9658,29.726,29.6055,0.9076,0.1711,0,0
2013,4,5,28.8231,29.906,29.5765,0.8664,0.1475,0,0
2013,4,6,28.7969,29.8463,29.3732,0.6781,0,0,0
2013,4,7,28.9788,30.0596,29.8545,1.151,0.4441,0,0
2013,4,8,29.3587,30.1756,29.9427,1.1678,0.6001,0,0
2013,4,9,28.9969,30.3226,29.7318,0.849,0.1175,0,0
2013,4,10,29.2793,30.44,30.1267,1.3695,0.7428,0,0
2013,4,11,29.4513,30.49,30.2149,1.363,0.6301,0,0
2013,4,12,29.3894,30.4494,30.0126,1.2406,0.6399,0,0
2013,4,13,28.9007,29.8675,29.659,0.8571,0.1336,0,0
2013,4,14,29.094,30.4462,29.8552,1.0805,0.5013,0,0
2013,4,15,29.1481,30.3721,29.9805,1.1532,0.5663,0,0
2013,4,16,28.974,30.1774,29.6908,0.8917,0.308,0,0
2013,4,17,29.2222,30.2635,30.0201,1.1349,0.4604,0,0
2013,4,18,29.3001,30.3447,30.027,1.236,0.4941,0,0
2013,4,19,29.1236,30.1991,29.8693,1.0307,0.4626,0,0
2013,4,20,29.374,30.3044,29.988,1.2366,0.5873,0,0
2013,4,21,29.4682,30.6816,30.1002,1.3614,0.7026,0,0
2013,4,22,29.6289,30.678,30.3284,1.5828,0.82,0,0
2013,4,23,29.7244,31.1294,30.3902,1.6314,1.022,0,0
2013,4,24,29.5644,30.4367,30.2104,1.4112,0.6502,0,0
2013,4,25,29.4572,30.5425,29.9547,1.2521,0.5087,0,0
2013,4,26,29.186,30.2659,29.878,1.0595,0.4733,0,0
2013,4,27,28.9498,29.9624,29.5611,0.6887,0.129,0,0
2013,4,28,29.0364,30.103,29.6026,0.8955,0.218,0,0
2013,4,29,29.1195,30.1955,29.7633,1.1042,0.3229,0,0
2013,4,30,28.912,30.0749,29.6819,0.7721,0.2406,0,0
2013,5,1,29.0057,29.9159,29.6247,0.9603,0.1399,0,0
2013,5,2,29.0145,30.0137,29.482,0.6413,0.1309,0,0
