Date,Year,Site,Depth,Transect,Transect_old,Surveyor,GEN,morph,Number,Status,H1,H2,H3,H4
11/18/2015,2015,Beloi,10m,2,2,CK,ACR,tab,9,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,ACR,tab,1,Comp,PIG,,,
11/18/2015,2015,Beloi,10m,2,2,CK,ACR,tab,1,Comp,INV,,,
11/18/2015,2015,Beloi,10m,2,2,CK,ACR,tab,1,Comp,MA,,,
11/18/2015,2015,Beloi,10m,2,2,CK,ACR,bot,1,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,ACR,bush,6,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,ACR,stag,1,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,ACR,stag,1,Bleaching,PBL,,,
11/18/2015,2015,Beloi,10m,2,2,CK,MONTI,,33,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,MONTI,,11,Comp,INV,,,
11/18/2015,2015,Beloi,10m,2,2,CK,MONTI,,5,Comp,MA,,,
11/18/2015,2015,Beloi,10m,2,2,CK,MONTI,,2,Bleaching,PBL,,,
11/18/2015,2015,Beloi,10m,2,2,CK,POC,,1,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,POC,,1,Comp,INV,,,
11/18/2015,2015,Beloi,10m,2,2,CK,POC,,2,Bleaching,BL,,,
11/18/2015,2015,Beloi,10m,2,2,CK,POC,,1,Comp,MA,,,
11/18/2015,2015,Beloi,10m,2,2,CK,STY,,3,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,SER,,9,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,POR,mass,2,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,POR,mass,1,Comp,TL,PRED,,
11/18/2015,2015,Beloi,10m,2,2,CK,POR,mass,3,Comp,TL,,,
11/18/2015,2015,Beloi,10m,2,2,CK,POR,br,12,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,POR,br,4,Comp,INV,,,
11/18/2015,2015,Beloi,10m,2,2,CK,POR,br,4,Comp,MA,,,
11/18/2015,2015,Beloi,10m,2,2,CK,POR,other,1,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,GONIO,,6,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,GONIO,,1,Comp,INV,,,
11/18/2015,2015,Beloi,10m,2,2,CK,GONIO,,2,Comp,MA,,,
11/18/2015,2015,Beloi,10m,2,2,CK,ALV,,1,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,Favia,,2,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,EPOR,,3,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,EPOR,,1,Comp,FW,,,
11/18/2015,2015,Beloi,10m,2,2,CK,EPOR,,1,Comp,MA,,,
11/18/2015,2015,Beloi,10m,2,2,CK,EPOR,,1,Bleaching,PBL,,,
11/18/2015,2015,Beloi,10m,2,2,CK,PLA,,6,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,GONIAS,,9,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,CYP,,1,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,CYP,,1,Bleaching,BL,,,
11/18/2015,2015,Beloi,10m,2,2,CK,DIP,,1,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,FUN,,1,Bleaching,PBL,,,
11/18/2015,2015,Beloi,10m,2,2,CK,SAN,,1,Healthy,H,,,
11/18/2015,2015,Beloi,10m,2,2,CK,CTE,,1,Healthy,H,,,
