Sample ID,Site2,Site,Depth,Transect,Rep,Location,Nutrient [uM],Concentration
CK 001,Rural-N,Beloi,5m,1,A,C,PO4,0.118094055
CK 002,Rural-N,Beloi,5m,2,A,C,PO4,0.065620984
CK 003,Rural-N,Beloi,5m,3,A,C,PO4,0.07846266
CK 004,Rural-N,Beloi,10m,4,A,C,PO4,0.148303332
CK 005,Rural-N,Beloi,10m,5,A,C,PO4,0.129530341
CK 006,Rural-N,Beloi,10m,6,A,C,PO4,0.155228835
CK 007,Urban-W,DiliRock,5m,7,A,M,PO4,0.166307388
CK 008,Urban-W,DiliRock,5m,8,A,M,PO4,0.083917005
CK 009,Urban-W,DiliRock,5m,9,A,M,PO4,0.065713359
CK 010,Urban-W,DiliRock,10m,10,A,M,PO4,0.112079025
CK 011,Urban-W,DiliRock,10m,11,A,M,PO4,0.11358484
CK 012,Urban-W,DiliRock,10m,12,A,M,PO4,0.02690438
CK 013,Urban-E,ChristoRei,5m,13,A,M,PO4,0.111813897
CK 014,Urban-E,ChristoRei,5m,14,A,M,PO4,0.07504843
CK 015,Urban-E,ChristoRei,5m,15,A,M,PO4,0.066384178
CK 016,Urban-E,ChristoRei,10m,16,A,M,PO4,0.112146724
CK 017,Urban-E,ChristoRei,10m,17,A,M,PO4,0.122925185
CK 018,Urban-E,ChristoRei,10m,18,A,M,PO4,0.093324865
CK 019,Rural-E,Manatuto,5m,19,A,M,PO4,0.08525726
CK 020,Rural-E,Manatuto,5m,20,A,M,PO4,0.081376527
CK 021,Rural-E,Manatuto,5m,21,A,M,PO4,0.128360464
CK 022,Rural-E,Manatuto,10m,22,A,M,PO4,0.078101296
CK 023,Rural-E,Manatuto,10m,23,A,M,PO4,0.070926712
CK 024,Rural-E,Manatuto,10m,24,A,M,PO4,0.056866806
CK 001,Rural-N,Beloi,5m,1,A,C,NH4,0.671266032
CK 002,Rural-N,Beloi,5m,2,A,C,NH4,0.827654469
CK 003,Rural-N,Beloi,5m,3,A,C,NH4,0.740277573
