Date,Site,Depth,Transect,Surveyor,Tallys,Area,Benthic Category,Major Category,,
6/17/2017,DiliRock,10m,1,PeranBray,18,90,Acr/Montipora-br,Coral,CCA,
6/17/2017,DiliRock,10m,1,PeranBray,1,5,Stylphora-br,Coral,Coral,
6/17/2017,DiliRock,10m,1,PeranBray,24,120,Fungia,FreeCoral,Cyano,
6/17/2017,DiliRock,10m,1,PeranBray,148,740,SoftCoral,SoftCoral,Macroalgae,
6/17/2017,DiliRock,10m,1,PeranBray,52,260,Sub-Turf,Substrate,Non-CoralInvert,
6/17/2017,DiliRock,10m,1,PeranBray,27,135,Halimeda,Macroalgae,NSCoral,
6/17/2017,DiliRock,10m,1,PeranBray,30,150,Rubble,LooseSub,Sand,1500
6/18/2017,DiliRock,5m,2,FionaRyan,2,10,Pocillopora,Coral,Substrate,
6/18/2017,DiliRock,5m,2,FionaRyan,6,30,Platygyra,Coral,Turf,
6/18/2017,DiliRock,5m,2,FionaRyan,27,135,SoftCoral,SoftCoral,SoftCoral,
6/18/2017,DiliRock,5m,2,FionaRyan,168,840,Turf-rub-sub,Turf,Turf,
6/18/2017,DiliRock,5m,2,FionaRyan,94,470,Rub-Turf,Turf,Rubble,
6/18/2017,DiliRock,5m,2,FionaRyan,2,10,Sand,LooseSub,,
6/18/2017,DiliRock,5m,2,FionaRyan,2,10,Favia,Coral,,
6/18/2017,DiliRock,5m,1,FionaRyan,2,10,Acropora-stag,Coral,,
6/18/2017,DiliRock,5m,1,FionaRyan,1,5,Pocillopora,Coral,,
6/18/2017,DiliRock,5m,1,FionaRyan,1,5,Porities br,Coral,,
6/18/2017,DiliRock,5m,1,FionaRyan,4,20,Platygyra,Coral,,
6/18/2017,DiliRock,5m,1,FionaRyan,14,70,Diploastrea,Coral,,
6/18/2017,DiliRock,5m,1,FionaRyan,48,240,SoftCoral,SoftCoral,,
6/18/2017,DiliRock,5m,1,FionaRyan,189,945,Turf-rub-sub,Turf,,
6/18/2017,DiliRock,5m,1,FionaRyan,30,150,Rub-Turf,Turf,,
6/18/2017,DiliRock,5m,1,FionaRyan,2,10,Sand,LooseSub,,
6/18/2017,DiliRock,10m,2,PeranBray,2,10,Acropora-corym,Coral,,
6/18/2017,DiliRock,10m,2,PeranBray,4,20,Acropora-stag,Coral,,
6/18/2017,DiliRock,10m,2,PeranBray,1,5,Galaxea,Coral,,
6/18/2017,DiliRock,10m,2,PeranBray,1,5,Stylphora-br,Coral,,
6/18/2017,DiliRock,10m,2,PeranBray,1,5,Porities br,Coral,,
6/18/2017,DiliRock,10m,2,PeranBray,5,25,Fungia,FreeCoral,,
6/18/2017,DiliRock,10m,2,PeranBray,46,230,SoftCoral,SoftCoral,,
6/18/2017,DiliRock,10m,2,PeranBray,192,960,Rub-turf,Rubble,,
6/18/2017,DiliRock,10m,2,PeranBray,2,10,Halimeda,Macroalgae,,
6/18/2017,DiliRock,10m,2,PeranBray,45,225,Sand,Sand,,
6/19/2017,DiliRock,5m,3,PeranBray,4,20,CCA,CCA,,
6/19/2017,DiliRock,5m,3,PeranBray,8,40,Porities-mass,Coral,,
6/19/2017,DiliRock,5m,3,PeranBray,76,380,SoftCoral,SoftCoral,,
6/19/2017,DiliRock,5m,3,PeranBray,84,420,Turf-sub,Turf,,
6/19/2017,DiliRock,5m,3,PeranBray,5,25,Sand,LooseSub,,
6/19/2017,DiliRock,5m,3,PeranBray,117,585,Turf-rub,Turf,,
6/19/2017,DiliRock,5m,3,PeranBray,3,15,Sponge,Invert,,
6/19/2017,DiliRock,10m,3,FionaRyan,7,35,Acropora-stag,Coral,,
6/19/2017,DiliRock,10m,3,FionaRyan,100,500,Porities/Monti-br,Coral,,
6/19/2017,DiliRock,10m,3,FionaRyan,6,30,Fungia,FreeCoral,,
6/19/2017,DiliRock,10m,3,FionaRyan,101,505,SoftCoral,SoftCoral,,
6/19/2017,DiliRock,10m,3,FionaRyan,24,120,Turf-sub,Turf,,
6/19/2017,DiliRock,10m,3,FionaRyan,4,20,Sand,LooseSub,,
6/19/2017,DiliRock,10m,3,FionaRyan,37,185,Turf-rub,Turf,,
6/19/2017,DiliRock,10m,3,FionaRyan,2,10,Coral,Coral,,
6/19/2017,DiliRock,10m,3,FionaRyan,2,10,Coral,Coral,,
6/21/2017,Manatutu,5m,1,PeranBray,5,25,Acropora-tab,Coral,,
6/21/2017,Manatutu,5m,1,PeranBray,2,10,Montipora-enc,Coral,,
6/21/2017,Manatutu,5m,1,PeranBray,6,30,Seriatapora,Coral,,
6/21/2017,Manatutu,5m,1,PeranBray,3,15,Porities-mass,Coral,,
6/21/2017,Manatutu,5m,1,PeranBray,9,45,Echinopora,Coral,,
6/21/2017,Manatutu,5m,1,PeranBray,2,10,Goniastrea,Coral,,
