Sample ID,ID,Algae,Site,Site2,Depth,Transect,Weight.mg,N2Amp,P.N,d15N,CO2Amp,P.C,d13C
78 Chlorodesmis,78,Chlorodesmis,DiliRock,Urban-W,5m,T2,3.375,"2,728",1.7,4.4,"6,259",21.68,-14.09
79 Chlorodesmis,79,Chlorodesmis,DiliRock,Urban-W,5m,T2,3.193,"2,348",1.55,4.41,"6,017",21.73,-14.58
85 Chlorodesmis,85,Chlorodesmis,DiliRock,Urban-W,5m,T3,3.1,"3,549",2.38,4.67,"6,752",25.36,-17.76
86 Chlorodesmis,86,Chlorodesmis,DiliRock,Urban-W,5m,T3,3.337,"3,255",2.04,4.1,"6,542",22.87,-15.6
87 Chlorodesmis,87,Chlorodesmis,DiliRock,Urban-W,5m,T3,3.133,"5,068",3.29,4.27,"8,660",32.68,-17.87
97 Chlorodesmis,97,Chlorodesmis,DiliRock,Urban-W,10m,T1,3.23,"6,076",3.83,4.23,"8,758",32.36,-21.08
98 Chlorodesmis,98,Chlorodesmis,DiliRock,Urban-W,10m,T1,3.276,"2,509",1.61,4.81,"5,154",18.09,-14.57
99 Chlorodesmis,99,Chlorodesmis,DiliRock,Urban-W,10m,T1,3.215,"3,825",2.46,4.86,"6,347",22.91,-18.19
121 Chlorodesmis,121,Chlorodesmis,ChristoRei,Urban-E,5m,T1,3.211,"5,797",3.65,4,"9,343",35.15,-19.33
122 Chlorodesmis,122,Chlorodesmis,ChristoRei,Urban-E,5m,T1,3.239,"3,559",2.28,4.66,"6,986",25.27,-17.67
123 Chlorodesmis,123,Chlorodesmis,ChristoRei,Urban-E,5m,T1,3.141,"3,789",2.49,4.13,"6,774",25.27,-16.78
123.1 Chlorodesmis,123.1,Chlorodesmis,ChristoRei,Urban-E,5m,T1,3.283,"5,040",3.15,4.22,"8,499",30.95,-18.91
139 Chlorodesmis,139,Chlorodesmis,ChristoRei,Urban-E,5m,T3,3.139,"5,526",3.57,4.27,"9,130",34.87,-18.2
140 Chlorodesmis,140,Chlorodesmis,ChristoRei,Urban-E,5m,T3,3.244,"5,917",3.7,3.84,"9,199",34,-19.88
141 Chlorodesmis,141,Chlorodesmis,ChristoRei,Urban-E,5m,T3,3.255,"6,204",3.86,4.03,"9,744",36.33,-19.77
142 Chlorodesmis,142,Chlorodesmis,ChristoRei,Urban-E,5m,T3,3.2,"6,067",3.84,4.09,"10,066",38.45,-19.84
169 Chlorodesmis,169,Chlorodesmis,ChristoRei,Urban-E,10m,T3,3.149,"5,668",3.68,3.63,"8,320",31.55,-19.94
170 Chlorodesmis,170,Chlorodesmis,ChristoRei,Urban-E,10m,T3,3.276,"5,943",3.72,4.32,"9,699",36.3,-18.89
171 Chlorodesmis,171,Chlorodesmis,ChristoRei,Urban-E,10m,T3,3.241,"3,964",2.52,4.06,"6,571",23.62,-17.98
186 Chlorodesmis,186,Chlorodesmis,Manatuto,Rural-E,5m,T1,3.271,"3,717",2.34,4.86,"8,668",31.64,-17.73
187 Chlorodesmis,187,Chlorodesmis,Manatuto,Rural-E,5m,T1,3.185,"4,565",2.95,4.45,"8,496",31.87,-17.37
209 Chlorodesmis,209,Chlorodesmis,Manatuto,Rural-E,5m,T1,3.269,"4,153",2.61,4.39,"7,932",28.72,-16.63
3 Halimeda,3,Halimeda,Beloi,Rural-N,5m,T1,16.76,"12,411",1.35,4.86,"22,881",20.39,-8.54
4 Halimeda,4,Halimeda,Beloi,Rural-N,5m,T1,16.661,"7,985",0.99,4.82,"19,800",17.75,-7.34
4 Halimeda,4,Halimeda,Beloi,Rural-N,5m,T1,16.711,"8,620",1.04,4.8,"20,262",18.59,-7.33
5 Halimeda,5,Halimeda,Beloi,Rural-N,5m,T1,4.983,"1,174",0.44,4.43,"6,699",15.41,-6.68
5 Halimeda,5,Halimeda,Beloi,Rural-N,5m,T1,16.665,"3,284",0.42,4.53,"16,700",15.86,-5.99
12 Halimeda,12,Halimeda,Beloi,Rural-N,5m,T2,16.582,"8,606",1.08,4.16,"20,199",18.85,-8.63
13 Halimeda,13,Halimeda,Beloi,Rural-N,5m,T2,16.361,"9,347",1.21,4.06,"20,820",21,-9.36
14 Halimeda,14,Halimeda,Beloi,Rural-N,5m,T2,5.075,"2,962",1.12,3.86,"7,269",16.45,-8.6
15 Halimeda,15,Halimeda,Beloi,Rural-N,5m,T2,4.965,"1,532",0.58,3.69,"6,901",15.78,-6.07
16 Halimeda,16,Halimeda,Beloi,Rural-N,5m,T2,16.766,"3,823",0.45,4.32,"16,283",14.48,-4.91
17 Halimeda,17,Halimeda,Beloi,Rural-N,5m,T2,16.55,"8,058",0.98,4.25,"17,554",16.53,-10.37
18.4 Halimeda,18.4,Halimeda,Beloi,Rural-N,5m,T3,16.511,"2,523",0.31,4.57,"12,988",11.86,-5.31
19 Halimeda,19,Halimeda,Beloi,Rural-N,5m,T3,16.573,"3,431",0.41,4.41,"16,641",13.71,-6.26
20 Halimeda,20,Halimeda,Beloi,Rural-N,5m,T3,5.086,"1,149",0.43,4.25,"6,395",14.24,-6.07
21 Halimeda,21,Halimeda,Beloi,Rural-N,5m,T3,16.3647,"8,196",1.14,15.12,"19,763",18.91,-8.92
