,Pop,Site2,Site,Depth,Transect,Major.Category,sum.Area
1,Rural,Rural-N,Beloi,10m,1,pCCA,16.04477612
2,Rural,Rural-N,Beloi,10m,2,pCCA,12.57668712
3,Rural,Rural-N,Beloi,10m,3,pCCA,9.508196721
4,Rural,Rural-N,Beloi,5m,1,pCCA,4.87804878
5,Rural,Rural-N,Beloi,5m,2,pCCA,0
6,Rural,Rural-N,Beloi,5m,3,pCCA,7.01754386
7,Urban,Urban-E,CristoRei,10m,1,pCCA,3.010033445
8,Urban,Urban-E,CristoRei,10m,2,pCCA,4.651162791
9,Urban,Urban-E,CristoRei,10m,3,pCCA,3.214285714
10,Urban,Urban-E,CristoRei,5m,1,pCCA,0
11,Urban,Urban-E,CristoRei,5m,2,pCCA,1.315789474
12,Urban,Urban-E,CristoRei,5m,3,pCCA,10.20408163
13,Urban,Urban-W,DiliRock,10m,1,pCCA,1.683501684
14,Urban,Urban-W,DiliRock,10m,2,pCCA,4.593639576
15,Urban,Urban-W,DiliRock,10m,3,pCCA,1.374570447
16,Urban,Urban-W,DiliRock,5m,1,pCCA,7.8125
17,Urban,Urban-W,DiliRock,5m,2,pCCA,12.21122112
18,Urban,Urban-W,DiliRock,5m,3,pCCA,12.13114754
19,Rural,Rural-E,Manatutu,10m,1,pCCA,3.378378378
20,Rural,Rural-E,Manatutu,10m,2,pCCA,2.243589744
21,Rural,Rural-E,Manatutu,10m,3,pCCA,4.794520548
22,Rural,Rural-E,Manatutu,5m,1,pCCA,1.01010101
23,Rural,Rural-E,Manatutu,5m,2,pCCA,8
24,Rural,Rural-E,Manatutu,5m,3,pCCA,4.934210526
25,Rural,Rural-N,Beloi,10m,1,pCoral,52.23880597
26,Rural,Rural-N,Beloi,10m,2,pCoral,43.25153374
27,Rural,Rural-N,Beloi,10m,3,pCoral,32.13114754
28,Rural,Rural-N,Beloi,5m,1,pCoral,61.32404181
29,Rural,Rural-N,Beloi,5m,2,pCoral,55.33033033
30,Rural,Rural-N,Beloi,5m,3,pCoral,57.89473684
31,Urban,Urban-E,CristoRei,10m,1,pCoral,12.37458194
32,Urban,Urban-E,CristoRei,10m,2,pCoral,6.644518272
33,Urban,Urban-E,CristoRei,10m,3,pCoral,17.85714286
34,Urban,Urban-E,CristoRei,5m,1,pCoral,15.51724138
35,Urban,Urban-E,CristoRei,5m,2,pCoral,21.05263158
36,Urban,Urban-E,CristoRei,5m,3,pCoral,36.73469388
37,Urban,Urban-W,DiliRock,10m,1,pCoral,58.92255892
38,Urban,Urban-W,DiliRock,10m,2,pCoral,29.6819788
39,Urban,Urban-W,DiliRock,10m,3,pCoral,47.0790378
40,Urban,Urban-W,DiliRock,5m,1,pCoral,7.8125
41,Urban,Urban-W,DiliRock,5m,2,pCoral,4.95049505
42,Urban,Urban-W,DiliRock,5m,3,pCoral,1.639344262
43,Rural,Rural-E,Manatutu,10m,1,pCoral,25.33783784
44,Rural,Rural-E,Manatutu,10m,2,pCoral,16.98717949
45,Rural,Rural-E,Manatutu,10m,3,pCoral,23.97260274
46,Rural,Rural-E,Manatutu,5m,1,pCoral,19.19191919
47,Rural,Rural-E,Manatutu,5m,2,pCoral,14.66666667
48,Rural,Rural-E,Manatutu,5m,3,pCoral,26.64473684
49,Rural,Rural-N,Beloi,10m,1,pTurCy,5.223880597
50,Rural,Rural-N,Beloi,10m,2,pTurCy,7.055214724
51,Rural,Rural-N,Beloi,10m,3,pTurCy,25.24590164
52,Rural,Rural-N,Beloi,5m,1,pTurCy,0
53,Rural,Rural-N,Beloi,5m,2,pTurCy,2.627627628
54,Rural,Rural-N,Beloi,5m,3,pTurCy,0
55,Urban,Urban-E,CristoRei,10m,1,pTurCy,1.337792642
56,Urban,Urban-E,CristoRei,10m,2,pTurCy,24.91694352
57,Urban,Urban-E,CristoRei,10m,3,pTurCy,0
58,Urban,Urban-E,CristoRei,5m,1,pTurCy,35.17241379
59,Urban,Urban-E,CristoRei,5m,2,pTurCy,4.276315789
60,Urban,Urban-E,CristoRei,5m,3,pTurCy,15.98639456
61,Urban,Urban-W,DiliRock,10m,1,pTurCy,0
62,Urban,Urban-W,DiliRock,10m,2,pTurCy,18.02120141
63,Urban,Urban-W,DiliRock,10m,3,pTurCy,8.934707904
64,Urban,Urban-W,DiliRock,5m,1,pTurCy,45
65,Urban,Urban-W,DiliRock,5m,2,pTurCy,0
66,Urban,Urban-W,DiliRock,5m,3,pTurCy,34.42622951
67,Rural,Rural-E,Manatutu,10m,1,pTurCy,3.040540541
68,Rural,Rural-E,Manatutu,10m,2,pTurCy,16.66666667
69,Rural,Rural-E,Manatutu,10m,3,pTurCy,1.02739726
70,Rural,Rural-E,Manatutu,5m,1,pTurCy,37.37373737
71,Rural,Rural-E,Manatutu,5m,2,pTurCy,7.666666667
72,Rural,Rural-E,Manatutu,5m,3,pTurCy,19.73684211
73,Rural,Rural-N,Beloi,10m,1,pMA,2.23880597
74,Rural,Rural-N,Beloi,10m,2,pMA,7.36196319
75,Rural,Rural-N,Beloi,10m,3,pMA,4.262295082
76,Rural,Rural-N,Beloi,5m,1,pMA,0
77,Rural,Rural-N,Beloi,5m,2,pMA,0
78,Rural,Rural-N,Beloi,5m,3,pMA,3.50877193
79,Urban,Urban-E,CristoRei,10m,1,pMA,0.668896321
80,Urban,Urban-E,CristoRei,10m,2,pMA,1.328903654
81,Urban,Urban-E,CristoRei,10m,3,pMA,2.857142857
82,Urban,Urban-E,CristoRei,5m,1,pMA,0
