,Site,Depth,Transect,Transect_old,CCA,Invert,Macroalgae,SoftCoral,Turf,HardCoral,Substrate/Sand,Site2,Year
1,Beloi,10m,1,1,0,3.96039604,1.98019802,26.73267327,7.590759076,59.7359736,0,Rural-N,2017
2,Beloi,10m,2,2,1.700680272,3.06122449,3.401360544,21.42857143,11.2244898,50.34013605,8.843537415,Rural-N,2017
3,Beloi,10m,3,3,0,4.682274247,3.010033445,20.06688963,3.678929766,60.53511706,8.026755853,Rural-N,2017
4,Beloi,5m,1,1,0.331125828,0,0,23.17880795,18.21192053,50,8.278145695,Rural-N,2017
5,Beloi,5m,3,2,0,6.333333333,0,31.33333333,22.66666667,38.66666667,1,Rural-N,2017
6,Beloi,5m,2,3,0,1.320132013,0,51.48514851,22.11221122,23.43234323,1.650165017,Rural-N,2017
7,CristoRei,10m,1,1,0.682593857,0.341296928,0,41.29692833,48.12286689,2.389078498,7.167235495,Urban-E,2017
8,CristoRei,10m,2,2,0,0,0,63.31168831,25.97402597,9.090909091,1.623376623,Urban-E,2017
9,CristoRei,10m,3,3,0,0,0.675675676,42.90540541,37.5,10.47297297,8.445945946,Urban-E,2017
10,CristoRei,5m,2,1,0,1.754385965,0,0,29.47368421,36.84210526,31.92982456,Urban-E,2017
11,CristoRei,5m,1,2,0,0,0,24.66216216,57.77027027,3.378378378,14.18918919,Urban-E,2017
12,CristoRei,5m,3,3,0.333333333,0,0,37.66666667,43,19,0,Urban-E,2017
13,DiliRock,10m,2,1,0,0,9,49.33333333,0,14.33333333,27.33333333,Urban-W,2017
14,DiliRock,10m,3,2,0,0,0.668896321,15.38461538,0,4.682274247,79.26421405,Urban-W,2017
15,DiliRock,10m,1,3,0,0,0,35.68904594,21.55477032,41.34275618,1.413427562,Urban-W,2017
16,DiliRock,5m,1,1,0,0,0,16.49484536,75.25773196,7.560137457,0.687285223,Urban-W,2017
17,DiliRock,5m,3,2,0,0,0,8.970099668,87.04318937,3.322259136,0.664451827,Urban-W,2017
18,DiliRock,5m,2,3,1.346801347,1.01010101,0,25.58922559,67.67676768,2.693602694,1.683501684,Urban-W,2017
19,Manatutu,10m,3,1,0,0.99009901,0.660066007,10.56105611,27.39273927,47.19471947,13.20132013,Rural-E,2017
20,Manatutu,10m,2,2,0,6.666666667,0,0,41,41.33333333,11,Rural-E,2017
21,Manatutu,10m,1,3,0,0,2.02020202,0,57.57575758,39.39393939,1.01010101,Rural-E,2017
22,Manatutu,5m,3,1,0,0.983606557,0.327868852,11.80327869,76.39344262,10.49180328,0,Rural-E,2017
23,Manatutu,5m,1,2,1.538461538,0,0,18.07692308,25.76923077,21.15384615,33.46153846,Rural-E,2017
24,Manatutu,5m,2,3,0,0,0,21.47435897,57.37179487,5.448717949,15.70512821,Rural-E,2017
