month,year,Site,Depth,N,Temp,sd,se,ci,m.y
1,2016,Rural-N,10m,31,29.430096774193547,0.7366962220996618,0.13231454747219382,0.270222355870424,1/2016
1,2016,Rural-N,5m,31,29.26108064516129,0.7720450342734134,0.1386633815589482,0.2831884048554289,1/2016
1,2016,Urban-E,10m,31,29.62532258064516,1.1208448119490577,0.20130967097525423,0.41112919621982646,1/2016
1,2016,Urban-E,5m,31,29.49898387096774,1.0823203506346217,0.19439047346545615,0.3969983097258577,1/2016
1,2016,Urban-W,10m,31,29.606629032258066,1.1832481563316994,0.21251764249057944,0.43401892773658396,1/2016
1,2016,Urban-W,5m,31,29.354467741935483,1.161211866510471,0.20855980800168816,0.42593595137332224,1/2016
1,2017,Rural-N,10m,31,29.170290322580644,0.20911295887604064,0.03755779613664384,0.07670325256924475,1/2017
1,2017,Rural-N,5m,31,28.5715,0.23617793433482903,0.04241880922826678,0.08663076571598602,1/2017
1,2017,Urban-E,10m,31,28.91832258064516,0.3816827991143757,0.06855225441336231,0.14000238100576481,1/2017
1,2017,Urban-E,5m,31,28.660064516129033,0.393674860384715,0.07070609219974518,0.14440110459223537,1/2017
1,2017,Urban-W,10m,31,28.766048387096774,0.4494223580486161,0.08071863835490707,0.16484945182236738,1/2017
1,2017,Urban-W,5m,31,28.18359677419355,0.46835886204481547,0.08411973487447569,0.17179541756550434,1/2017
2,2016,Rural-N,10m,29,29.362965517241378,0.3771410765557308,0.07003333975147384,0.1434567933106918,2/2016
2,2016,Rural-N,5m,29,29.17198275862069,0.42826223781110445,0.07952630107879405,0.16290224309036058,2/2016
2,2016,Urban-E,10m,29,29.18051724137931,0.4182393898141565,0.07766510493050362,0.15908975560792066,2/2016
2,2016,Urban-E,5m,29,29.024103448275863,0.401581369163353,0.07457178815239235,0.15275338342780248,2/2016
2,2016,Urban-W,10m,29,29.120120689655174,0.34470066349485473,0.06400930627753121,0.13111712012025412,2/2016
2,2016,Urban-W,5m,29,28.872758620689655,0.3400126998859657,0.06313877328981685,0.12933391413105166,2/2016
2,2017,Rural-N,10m,28,28.8595,0.4026249518495492,0.07608896387309018,0.15612165804217237,2/2017
2,2017,Rural-N,5m,28,28.225017857142856,0.4401161353918708,0.08317413158812306,0.17065922137425774,2/2017
2,2017,Urban-E,10m,28,28.582,0.6975213258388596,0.13181914016669102,0.27047053445020874,2/2017
2,2017,Urban-E,5m,28,28.35726785714286,0.7288604052972378,0.13774166949273112,0.2826225608561272,2/2017
2,2017,Urban-W,10m,28,28.463035714285713,0.6446857105163072,0.12183414741593762,0.24998302161737848,2/2017
2,2017,Urban-W,5m,28,27.903142857142857,0.7060155393466505,0.13342439563274103,0.2737642466021969,2/2017
3,2016,Rural-N,10m,31,29.856693548387096,0.7120676896360739,0.1278911324605949,0.26118853722944607,3/2016
3,2016,Rural-N,5m,31,29.67574193548387,0.7601567039210594,0.1365281743954196,0.2788277300768573,3/2016
3,2016,Urban-E,10m,31,29.925483870967742,0.5673173051575129,0.10189319593783114,0.2080936675483377,3/2016
3,2016,Urban-E,5m,31,29.77632258064516,0.5090178377422392,0.09142230248471078,0.18670925025616505,3/2016
3,2016,Urban-W,10m,31,29.71058064516129,0.6333509703260135,0.11375319231435461,0.23231501147994407,3/2016
3,2016,Urban-W,5m,31,29.52482258064516,0.65772007151456,0.11813001209344455,0.24125366996097392,3/2016
3,2017,Rural-N,10m,31,29.42175806451613,0.31491085698886645,0.05655965958099588,0.1155102349000423,3/2017
3,2017,Rural-N,5m,31,28.802629032258064,0.3611834706383525,0.06487046633108008,0.13248316661538168,3/2017
3,2017,Urban-E,10m,31,29.213806451612903,0.29714176407396714,0.053368236281273566,0.1089924789986214,3/2017
3,2017,Urban-E,5m,31,28.93575806451613,0.3171845380575726,0.056968024756053406,0.1163442278491749,3/2017
3,2017,Urban-W,10m,31,29.18982258064516,0.34642617174965046,0.062219977207075366,0.12707014568170083,3/2017
3,2017,Urban-W,5m,31,28.592629032258063,0.363025939563138,0.06520138351879114,0.13315898967316062,3/2017
4,2016,Rural-N,10m,30,30.182033333333333,0.4282320095730685,0.07818411049631262,0.1599044603308372,4/2016
4,2016,Rural-N,5m,30,29.9506,0.4126541383907766,0.0753399933481623,0.15408758763374222,4/2016
4,2016,Urban-E,10m,30,30.33963333333333,0.34145929058445174,0.06234165197427186,0.12750299455730157,4/2016
4,2016,Urban-E,5m,30,30.183466666666668,0.34417036512443233,0.06283662420114697,0.128515326427739,4/2016
4,2016,Urban-W,10m,30,30.356516666666668,0.3591125191869281,0.0655646758137291,0.1340948184510599,4/2016
4,2016,Urban-W,5m,30,30.059416666666667,0.3894743159902743,0.07110795614558942,0.1454320997004318,4/2016
4,2017,Rural-N,10m,30,29.74425,0.21506084744427154,0.039264559127134925,0.08030504021208854,4/2017
4,2017,Rural-N,5m,30,29.077683333333333,0.23816769965912554,0.04348327385747284,0.08893328063027751,4/2017
4,2017,Urban-E,10m,30,29.572366666666667,0.2622826171601312,0.04788603528669847,0.09793793881256832,4/2017
4,2017,Urban-E,5m,30,29.240733333333335,0.24435057253636738,0.044612106839156916,0.09124200330543483,4/2017
