Month,Year,Site,Depth,N,Temp,sd,se,ci,m.y
1,2016,Rural-N,10m,31,29.43009677,0.736696222,0.132314547,0.270222356,Jan-16
1,2016,Rural-N,5m,31,29.26108065,0.772045034,0.138663382,0.283188405,Jan-16
1,2016,Urban-E,10m,31,29.62532258,1.120844812,0.201309671,0.411129196,Jan-16
1,2016,Urban-E,5m,31,29.49898387,1.082320351,0.194390473,0.39699831,Jan-16
1,2016,Urban-W,10m,31,29.60662903,1.183248156,0.212517642,0.434018928,Jan-16
1,2016,Urban-W,5m,31,29.35446774,1.161211867,0.208559808,0.425935951,Jan-16
1,2017,Rural-N,10m,31,29.17029032,0.209112959,0.037557796,0.076703253,Jan-17
1,2017,Rural-N,5m,31,28.5715,0.236177934,0.042418809,0.086630766,Jan-17
1,2017,Urban-E,10m,31,28.91832258,0.381682799,0.068552254,0.140002381,Jan-17
1,2017,Urban-E,5m,31,28.66006452,0.39367486,0.070706092,0.144401105,Jan-17
1,2017,Urban-W,10m,31,28.76604839,0.449422358,0.080718638,0.164849452,Jan-17
1,2017,Urban-W,5m,31,28.18359677,0.468358862,0.084119735,0.171795418,Jan-17
2,2016,Rural-N,10m,29,29.36296552,0.377141077,0.07003334,0.143456793,Feb-16
2,2016,Rural-N,5m,29,29.17198276,0.428262238,0.079526301,0.162902243,Feb-16
2,2016,Urban-E,10m,29,29.18051724,0.41823939,0.077665105,0.159089756,Feb-16
2,2016,Urban-E,5m,29,29.02410345,0.401581369,0.074571788,0.152753383,Feb-16
2,2016,Urban-W,10m,29,29.12012069,0.344700663,0.064009306,0.13111712,Feb-16
2,2016,Urban-W,5m,29,28.87275862,0.3400127,0.063138773,0.129333914,Feb-16
2,2017,Rural-N,10m,28,28.8595,0.402624952,0.076088964,0.156121658,Feb-17
2,2017,Rural-N,5m,28,28.22501786,0.440116135,0.083174132,0.170659221,Feb-17
2,2017,Urban-E,10m,28,28.582,0.697521326,0.13181914,0.270470534,Feb-17
2,2017,Urban-E,5m,28,28.35726786,0.728860405,0.137741669,0.282622561,Feb-17
2,2017,Urban-W,10m,28,28.46303571,0.644685711,0.121834147,0.249983022,Feb-17
2,2017,Urban-W,5m,28,27.90314286,0.706015539,0.133424396,0.273764247,Feb-17
3,2016,Rural-N,10m,31,29.85669355,0.71206769,0.127891132,0.261188537,Mar-16
3,2016,Rural-N,5m,31,29.67574194,0.760156704,0.136528174,0.27882773,Mar-16
3,2016,Urban-E,10m,31,29.92548387,0.567317305,0.101893196,0.208093668,Mar-16
3,2016,Urban-E,5m,31,29.77632258,0.509017838,0.091422302,0.18670925,Mar-16
3,2016,Urban-W,10m,31,29.71058065,0.63335097,0.113753192,0.232315011,Mar-16
3,2016,Urban-W,5m,31,29.52482258,0.657720072,0.118130012,0.24125367,Mar-16
3,2017,Rural-N,10m,31,29.42175806,0.314910857,0.05655966,0.115510235,Mar-17
3,2017,Rural-N,5m,31,28.80262903,0.361183471,0.064870466,0.132483167,Mar-17
3,2017,Urban-E,10m,31,29.21380645,0.297141764,0.053368236,0.108992479,Mar-17
3,2017,Urban-E,5m,31,28.93575806,0.317184538,0.056968025,0.116344228,Mar-17
3,2017,Urban-W,10m,31,29.18982258,0.346426172,0.062219977,0.127070146,Mar-17
3,2017,Urban-W,5m,31,28.59262903,0.36302594,0.065201384,0.13315899,Mar-17
4,2016,Rural-N,10m,30,30.18203333,0.42823201,0.07818411,0.15990446,Apr-16
