"","Date","Dt.num","day.of.year","mtime","year","month","day","hour","Temp"
"1",2015-11-20,2015.88493150685,324,11,2015,11,20,0,30.0035
"2",2015-11-20,2015.88493150685,324,11.1,2015,11,20,1,29.8025
"3",2015-11-20,2015.88493150685,324,11.1,2015,11,20,10,29.1025
"4",2015-11-20,2015.88493150685,324,11.11,2015,11,20,11,29.552
"5",2015-11-20,2015.88493150685,324,11.12,2015,11,20,12,29.8025
"6",2015-11-20,2015.88493150685,324,11.13,2015,11,20,13,29.602
"7",2015-11-20,2015.88493150685,324,11.14,2015,11,20,14,29.7025
"8",2015-11-20,2015.88493150685,324,11.15,2015,11,20,15,29.652
"9",2015-11-20,2015.88493150685,324,11.16,2015,11,20,16,29.652
"10",2015-11-20,2015.88493150685,324,11.17,2015,11,20,17,29.702
"11",2015-11-20,2015.88493150685,324,11.18,2015,11,20,18,27.2715
"12",2015-11-20,2015.88493150685,324,11.19,2015,11,20,19,28.3075
"13",2015-11-20,2015.88493150685,324,11.2,2015,11,20,2,29.202
"14",2015-11-20,2015.88493150685,324,11.2,2015,11,20,20,29.1535
"15",2015-11-20,2015.88493150685,324,11.21,2015,11,20,21,29.3025
"16",2015-11-20,2015.88493150685,324,11.22,2015,11,20,22,29.752
"17",2015-11-20,2015.88493150685,324,11.23,2015,11,20,23,29.352
"18",2015-11-20,2015.88493150685,324,11.3,2015,11,20,3,29.602
"19",2015-11-20,2015.88493150685,324,11.4,2015,11,20,4,29.5525
"20",2015-11-20,2015.88493150685,324,11.5,2015,11,20,5,28.708
"21",2015-11-20,2015.88493150685,324,11.6,2015,11,20,6,29.502
"22",2015-11-20,2015.88493150685,324,11.7,2015,11,20,7,29.7525
"23",2015-11-20,2015.88493150685,324,11.8,2015,11,20,8,29.352
"24",2015-11-20,2015.88493150685,324,11.9,2015,11,20,9,29.602
"25",2015-11-21,2015.88767123288,325,11,2015,11,21,0,29.352
"26",2015-11-21,2015.88767123288,325,11.1,2015,11,21,1,29.552
"27",2015-11-21,2015.88767123288,325,11.1,2015,11,21,10,29.602
"28",2015-11-21,2015.88767123288,325,11.11,2015,11,21,11,29.552
"29",2015-11-21,2015.88767123288,325,11.12,2015,11,21,12,28.4065
"30",2015-11-21,2015.88767123288,325,11.13,2015,11,21,13,28.854
"31",2015-11-21,2015.88767123288,325,11.14,2015,11,21,14,28.06
"32",2015-11-21,2015.88767123288,325,11.15,2015,11,21,15,28.506
"33",2015-11-21,2015.88767123288,325,11.16,2015,11,21,16,28.5565
"34",2015-11-21,2015.88767123288,325,11.17,2015,11,21,17,29.004
