"","Date","Dt.num","day.of.year","mtime","year","month","day","hour","Temp"
"1",2015-11-23,2015.89315068493,327,"11.0","2015",11,23,0,30.659
"2",2015-11-23,2015.89315068493,327,"11.1","2015",11,23,1,30.659
"3",2015-11-23,2015.89315068493,327,"11.10","2015",11,23,10,29.9035
"4",2015-11-23,2015.89315068493,327,"11.11","2015",11,23,11,30.2555
"5",2015-11-23,2015.89315068493,327,"11.12","2015",11,23,12,30.5075
"6",2015-11-23,2015.89315068493,327,"11.13","2015",11,23,13,30.4065
"7",2015-11-23,2015.89315068493,327,"11.14","2015",11,23,14,30.5075
"8",2015-11-23,2015.89315068493,327,"11.15","2015",11,23,15,30.5075
"9",2015-11-23,2015.89315068493,327,"11.16","2015",11,23,16,30.4065
"10",2015-11-23,2015.89315068493,327,"11.17","2015",11,23,17,30.255
"11",2015-11-23,2015.89315068493,327,"11.18","2015",11,23,18,30.2045
"12",2015-11-23,2015.89315068493,327,"11.19","2015",11,23,19,30.2045
"13",2015-11-23,2015.89315068493,327,"11.2","2015",11,23,2,30.558
"14",2015-11-23,2015.89315068493,327,"11.20","2015",11,23,20,29.2525
"15",2015-11-23,2015.89315068493,327,"11.21","2015",11,23,21,29.252
"16",2015-11-23,2015.89315068493,327,"11.22","2015",11,23,22,28.357
"17",2015-11-23,2015.89315068493,327,"11.23","2015",11,23,23,28.258
"18",2015-11-23,2015.89315068493,327,"11.3","2015",11,23,3,29.9045
"19",2015-11-23,2015.89315068493,327,"11.4","2015",11,23,4,30.205
"20",2015-11-23,2015.89315068493,327,"11.5","2015",11,23,5,30.2045
"21",2015-11-23,2015.89315068493,327,"11.6","2015",11,23,6,30.255
"22",2015-11-23,2015.89315068493,327,"11.7","2015",11,23,7,29.5535
"23",2015-11-23,2015.89315068493,327,"11.8","2015",11,23,8,29.302
"24",2015-11-23,2015.89315068493,327,"11.9","2015",11,23,9,29.003
"25",2015-11-24,2015.89589041096,328,"11.0","2015",11,24,0,28.3645
"26",2015-11-24,2015.89589041096,328,"11.1","2015",11,24,1,30.4065
"27",2015-11-24,2015.89589041096,328,"11.10","2015",11,24,10,28.7045
"28",2015-11-24,2015.89589041096,328,"11.11","2015",11,24,11,26.5365
"29",2015-11-24,2015.89589041096,328,"11.12","2015",11,24,12,30.205
"30",2015-11-24,2015.89589041096,328,"11.13","2015",11,24,13,30.4065
"31",2015-11-24,2015.89589041096,328,"11.14","2015",11,24,14,30.356
"32",2015-11-24,2015.89589041096,328,"11.15","2015",11,24,15,30.457
"33",2015-11-24,2015.89589041096,328,"11.16","2015",11,24,16,30.356
"34",2015-11-24,2015.89589041096,328,"11.17","2015",11,24,17,29.6525
"35",2015-11-24,2015.89589041096,328,"11.18","2015",11,24,18,29.7025
"36",2015-11-24,2015.89589041096,328,"11.19","2015",11,24,19,29.6525
"37",2015-11-24,2015.89589041096,328,"11.2","2015",11,24,2,30.3055
"38",2015-11-24,2015.89589041096,328,"11.20","2015",11,24,20,30.255
"39",2015-11-24,2015.89589041096,328,"11.21","2015",11,24,21,30.2045
"40",2015-11-24,2015.89589041096,328,"11.22","2015",11,24,22,28.359
"41",2015-11-24,2015.89589041096,328,"11.23","2015",11,24,23,27.8625
"42",2015-11-24,2015.89589041096,328,"11.3","2015",11,24,3,30.3055
"43",2015-11-24,2015.89589041096,328,"11.4","2015",11,24,4,30.104
"44",2015-11-24,2015.89589041096,328,"11.5","2015",11,24,5,30.054
"45",2015-11-24,2015.89589041096,328,"11.6","2015",11,24,6,29.252
"46",2015-11-24,2015.89589041096,328,"11.7","2015",11,24,7,29.1025
"47",2015-11-24,2015.89589041096,328,"11.8","2015",11,24,8,29.4025
"48",2015-11-24,2015.89589041096,328,"11.9","2015",11,24,9,29.652
"49",2015-11-25,2015.89863013699,329,"11.0","2015",11,25,0,28.8535
"50",2015-11-25,2015.89863013699,329,"11.1","2015",11,25,1,29.352
"51",2015-11-25,2015.89863013699,329,"11.10","2015",11,25,10,28.159
"52",2015-11-25,2015.89863013699,329,"11.11","2015",11,25,11,26.0975
"53",2015-11-25,2015.89863013699,329,"11.12","2015",11,25,12,28.31
"54",2015-11-25,2015.89863013699,329,"11.13","2015",11,25,13,30.4065
"55",2015-11-25,2015.89863013699,329,"11.14","2015",11,25,14,30.104
"56",2015-11-25,2015.89863013699,329,"11.15","2015",11,25,15,30.104
"57",2015-11-25,2015.89863013699,329,"11.16","2015",11,25,16,30.104
"58",2015-11-25,2015.89863013699,329,"11.17","2015",11,25,17,30.154
"59",2015-11-25,2015.89863013699,329,"11.18","2015",11,25,18,29.8525
"60",2015-11-25,2015.89863013699,329,"11.19","2015",11,25,19,30.3055
"61",2015-11-25,2015.89863013699,329,"11.2","2015",11,25,2,30.0035
"62",2015-11-25,2015.89863013699,329,"11.20","2015",11,25,20,30.356
"63",2015-11-25,2015.89863013699,329,"11.21","2015",11,25,21,30.457
"64",2015-11-25,2015.89863013699,329,"11.22","2015",11,25,22,29.503
"65",2015-11-25,2015.89863013699,329,"11.23","2015",11,25,23,27.518
"66",2015-11-25,2015.89863013699,329,"11.3","2015",11,25,3,30.154
"67",2015-11-25,2015.89863013699,329,"11.4","2015",11,25,4,30.154
"68",2015-11-25,2015.89863013699,329,"11.5","2015",11,25,5,30.0535
"69",2015-11-25,2015.89863013699,329,"11.6","2015",11,25,6,29.5035
"70",2015-11-25,2015.89863013699,329,"11.7","2015",11,25,7,30.054
"71",2015-11-25,2015.89863013699,329,"11.8","2015",11,25,8,30.054
"72",2015-11-25,2015.89863013699,329,"11.9","2015",11,25,9,30.104
"73",2015-11-26,2015.90136986301,330,"11.0","2015",11,26,0,29.054
"74",2015-11-26,2015.90136986301,330,"11.1","2015",11,26,1,28.953
"75",2015-11-26,2015.90136986301,330,"11.10","2015",11,26,10,29.702
