H,Compcats7,Compcats8GA,CompactINV
acoel,OTH,OTH,INV
BAR,OTH,OTH,INV
BARN,OTH,OTH,INV
BL,BL,BL,BL
Broken,OTH,OTH,OTH
BUR,OTH,OTH,OTH
CCA,CCA,CCA,AllAlgae
Chlorodesmis,AllAlgae,AllAlgae,AllAlgae
contact,OTH,OTH,OTH
Coral,OTH,OTH,INV
Crabgall,OTH,OTH,INV
CY,AllAlgae,AllAlgae,AllAlgae
DRU,OTH,OTH,INV
FBl,BL,BL,BL
FW,OTH,OTH,INV
GA,OTH,GA,OTH
H,Healthy,Healthy,Healthy
HAL,AllAlgae,AllAlgae,AllAlgae
Hali,AllAlgae,AllAlgae,AllAlgae
Healthy,Healthy,Healthy,Healthy
INV,OTH,OTH,OTH
MA,AllAlgae,AllAlgae,AllAlgae
MILLE,OTH,OTH,INV
Mucus,OTH,OTH,OTH
Pale,BL,BL,BL
PB,BL,BL,BL
PBL,BL,BL,BL
PBT,BL,BL,BL
PIG,OTH,OTH,OTH
Pred,OTH,OTH,OTH
PRED,OTH,OTH,OTH
SED,OTH,OTH,OTH
Soft,OTH,OTH,INV
SoftCoral,OTH,OTH,INV
SP,OTH,OTH,INV
TL,TL,TL,TL
TUN,OTH,OTH,INV
turf,AllAlgae,AllAlgae,AllAlgae
UB,BL,BL,BL
upside,OTH,OTH,OTH
whspot,TL,TL,TL
WS,WS,WS,WS
Xmas,OTH,OTH,INV
TRE,OTH,OTH,OTH
WH,TL,TL,TL
